lemma,frequency
விரிவுபடுத்து,1
அதன்படி,1
புதுதில்லி,1
கொல்கத்தா,1
ஆந்திரம்,1
முந்து,1
வரிசை,1
பா.ம.க.,1
நிறுவனர்,1
ராமதாஸ்,1
அறிவிப்பு,1
பண்பாடு,1
அடையாளம்,1
இயற்று,1
முன்பு,1
அப்படி,1
வாழ்விடம்,1
அகற்று,1
உள்நாடு,1
நாளிதழ்,1
முழுப்பக்கம்,1
விளம்பரப்படு,1
நினைவு,1
சின்னம்,1
1000,1
அடி,1
கட்டுமானம்,1
மீறுவோர்,1
அபராதம்,1
குடும்பத்தினர்,1
பெருகு,1
மூதாதையர்,1
தாழ்வாரம்,1
கழிப்பு,1
உரிமையாளர்,1
சம்பந்தப்பட்ட,1
தண்டி,1
ஏற்கனவே,1
இடி,1
இணைப்பு,1
சுதந்திரம்,1
ஒழுங்குமுறை,1
கிளர்,1
78,1
தொகு,1
அண்டை,1
59,1
66,1
பங்களாதேஷ்,1
முறையே,1
88,1
89,1
தென்கொரியா,1
சிங்கப்பூர்,1
நான்கு,1
பின்லாந்து,1
சுவிட்சர்லாந்து,1
ஸ்வீடன்,1
ஆஸ்திரேலியா,1
அகியவை,1
14,1
பற்றிய,1
வாசகர்,1
‘,1
ஆரோக்கியம்,1
தகுந்த,1
பதில்,1
நேசி,1
முதலிடம்,1
முன்னர்,1
செலவினம்,1
பரிந்துரை,1
பிரிவினர்,1
அதிருப்தி,1
சமாஜவாதி,1
சனிக்கிழமை,1
திருநெல்வேலி,1
எதிர்கட்சி,1
மரியாதை,1
நிமித்தம்,1
திருச்செந்தூர்,1
அருள்மிகு,1
சுப்பிரமணியசுவாமி,1
கொடியேற்றம்,1
தொடக்கு,1
நடைதிற,1
விஷ்வரூபம்,1
தரிசனம்,1
உதய,1
மார்த்தாண்டம்,1
அபிஷேகம்,1
பூஜை,1
பல்லக்கு,1
பட்டம்,1
வீதி,1
5.20,1
வேதம்,1
ஓது,1
பஞ்வாத்தியம்,1
முழங்கு,1
பக்தர்,1
ஆரோகரா,1
கோஷம்,1
செப்பு,1
மரம்,1
சிவாச்சாரியர்,1
கொடியேற்று,1
பேட்ஸ்மேன்,1
ஆலன்,1
இடம்தரு,1
விளையாடு,1
தடைவிதி,1
முன்வா,1
தயக்கம்,1
நேரடி,1
செய்தித்தொடர்பாளர்,1
அப்துல்,1
பாசித்,1
முத்தரப்பு,1
இறுதிப்போட்டி,1
மகேந்திர,1
சூப்பர்,1
கிங்ஸ்,1
800,1
டெஸ்ட்,1
விக்கெட்டு,1
வீழ்த்து,1
முத்தையா,1
முரளிதரன்,1
கௌரவி,1
வெனிசூலா,1
கொலம்பியா,1
ஹியுகோ,1
ரஷ்யா,1
எமை-17,1
ஓடுதளம்,1
உள்ளாகு,1
தொலைக்காட்சி,1
தென்மேற்கு,1
அபூர்,1
என்கவுன்ட்டர்,1
மறுநாள்,1
55,1
டன்,1
அமித்,1
வாழு,1
ஆபத்து,1
மெட்ரிக்,1
எண்ணூர்,1
60,1
2500,1
லிமிடெட்,1
கூடாரம்,1
வெளியேற்று,1
பாக்கெட்,1
2.5,1
ரசாயனம்,1
குழாய்,1
சேகரி,1
அட்டாரி,1
நிதியுதவி,1
விடுதலைசெய்,1
பொதுக்கூட்டம்,1
சாமியிடம்,1
நரேந்திர,1
மேற்படி,1
உற்பத்தி,1
மடி,1
சூழ்நிலை,1
ராஜஸ்தான்,1
தடைபடு,1
சாமி,1
500,1
மேம்பாட்டுத்துறை,1
கழிவுநீரை,1
|,1
திருவள்ளூர்,1
14.10.2010,1
வியாழன்,1
கிழமை,1
எதிரில்,1
இலக்கியம்,1
பழ.,1
கருப்பையா,1
கண்டன,1
பெரிஸ்ûஸ,1
ஜி.எல்.,1
பக்டிகா,1
எம்.பி.,1
ஜானி,1
கேல்,1
வாகனம்,1
வீசு,1
ராக்கெட்,1
தாக்கு,1
ஜபூல்,1
ஷாஜோய்,1
ஜீப்,1
சாலையோரம்,1
திரிகோணமலை,1
ஏறு,1
நுழைவு,1
ஜம்மு-காஷ்மீர்,1
பலியாகு,1
வாக்காளர்,1
நாள்தோறும்,1
45,1
தீவு,1
பஞ்சாப்,1
1200க்க்,1
2000,1
பிறப்பி,1
முன்,1
செய்திரு,1
புதை,1
டிநிபெட்ரோவிஸ்க்,1
மார்ஹனெட்ஸ்,1
58,1
ஆவர்,1
தானியங்கி,1
இறஙு,1
எச்சரிக்கை,1
தேர்வு,1
பெரும்பாலானவர்,1
கண்டுகொள்,1
ஓட்டுநர்,1
இரட்டையர்,1
ஓட்டு,1
நல்லெண்ணம்,1
பயங்கரம்,1
வேகம்,1
பலம்,1
விடுதலைப்புலி,1
அருகு,1
மிஸ்ரி,1
விக்ரம்,1
கவலைக்கிடம்,1
யெவ்ஹெனி,1
கிரேவட்ஸ்,1
காந்தா,1
அசோக்,1
தேவையானவற்றை,1
சிரமப்படு,1
உபயோகம்,1
மதுரை,1
காண்பி,1
18-ல்,1
10-க்க்,1
கடிதம்,1
ஹீனா,1
தனிப்பிரிவு,1
திங்கள்கிழமை,1
அடிக்கடி,1
தொந்தரவு,1
சித்து,1
அன்னு,1
ஊடுருவு,1
வெளியே,1
காவல்துறை,1
டி.ராஜேந்திரன்,1
குழி,1
ராஜ்,1
பதுங்கு,1
சீரமைப்பு,1
குனார்,1
தளம்,1
தன்னார்வம்,1
தொண்டு,1
ஜேடி,1
ஓமந்தை,1
ரம்ஜான்,1
வெளிவரு,1
பேட்டி,1
செட்டிகுளம்,1
சதுர்த்தி,1
தலைமையகம்,1
விநாயகர்,1
19,1
இடைவெளி,1
வன்னி,1
கண்டிப்பாக,1
விரை,1
இயன்றவரை,1
முடிந்தளவு,1
கஜகஸ்தான்,1
விலகு,1
சம்ரேஷ்,1
எங்கள்,1
லத்தீன்,1
ஜங்,1
அந்தந்த,1
மேற்கு,1
ஐரோப்பா,1
கனடா,1
போர்ச்சுக்கல்,1
சந்திரசேகர்,1
ஆளுங்கட்சி,1
செளத்ரி,1
பிரேசில்,1
ரஷியா,1
பங்காற்றும்,1
ஹர்தீப்,1
பூரி,1
மூன்றில்,1
ஜோடி,1
இதன்படி,1
அதிகளவு,1
சாராத,1
வெளிநாடு,1
ஆஸ்திரியா,1
மெக்ஸிகோ,1
துருக்கி,1
உகாண்டா,1
ஆகியவற்றின்,1
நிறைவடை,1
இதுபோல்,1
தாக்கம்,1
துப்பாக்கிச்சுடுதல்,1
தேர்ந்தெடு,1
பதவிக்காலம்,1
நியூயார்க்,1
திராவிடம்,1
உரையாற்று,1
எஸ்.எம்.,1
கிருஷ்ணா,1
தேஜஸ்வினி,1
அவசியம்,1
அப்போதுதான்,1
ஒருமி,1
எட்டு,1
காஞ்சிபுரம்,1
செப்.15,1
பின்னடைவு,1
ஆர்சிலார்,1
முல்லைப்பெரியாறு,1
எல்.என்.,1
டோக்கியோ,1
டெக்ஹின்ட்,1
பாலோ,1
ரோகா,1
ஓராண்டு,1
பிரிட்டிஷ்,1
ஸ்டீல்,1
சர்,1
சாவந்த்,1
ஸ்கோலே,1
முதன்,1
மோசம்,1
பாசனம்,1
இனம்,1
ஏக்கர்,1
17,1
நோக்கம்,1
ராஞ்சி,1
ஒப்புதல்,1
எழுத்துப்பூர்வம்,1
ரவிசங்கர்,1
சாதகம்,1
அறிவுறுத்து,1
தளபதி,1
உச்சரி,1
அவமானப்படுத்து,1
துச்சம்,1
வருத்தம்,1
சரத்,1
இந்தளவு,1
சர்ச்சை,1
பெரிது,1
பய,1
வார்த்தை,1
மன்து,1
புண்படுத்து,1
மன்னி,1
தடவை,1
உச்சநீதிமன்றம்,1
பழமைவாய்,1
கான்ஸ்டபிள்,1
வழக்கம்,1
ஒதுக்கீடு,1
380,1
கேரளஅரசு,1
ஆயிரக்கணக்கு,1
சரணடை,1
கொடுத்திடு,1
கோயில்,1
மேற்கண்ட,1
அதிரடிப்படை,1
எவ்விதம்,1
சன்மானம்,1
பித்தளை,1
திருடர்,1
பழமை,1
அச்சப்படு,1
மட்டுமல்லாது,1
வழிபாடு,1
விபரீதம்,1
வெற்றிபெறு,1
206,1
106,1
அற்றவன்,1
பதிவாகு,1
திங்கட்கிழமையன்று,1
சரண்,1
சுயேச்சை,1
லத்திகா,1
பரபரப்பு,1
பேட்மின்டன்,1
ஒற்றையர்,1
டி.ஜி.பி.ய்,1
நேவல்,1
எஸ்.மாலதிய்,1
ஆயுள்,1
ஆதரவாளர்,1
தோல்வியடை,1
டிஜிபி,1
19-21,1
புள்ளிக்கணக்கு,1
இழ,1
22-20,1
21-13,1
புள்ளி,1
முன்பே,1
2-1,1
பி.கே.பாண்டே,1
தங்கப்பதக்கம்,1
38-,1
பதக்கப்பட்டியல்,1
முன்னேறு,1
ஐஜி,1
மனிதவளம்,1
இறுதிநாள்,1
செயலகம்,1
இந்து,1
காமென்வெல்த்,1
சிதம்பரம்,1
பர்னாலா,1
ஹோட்டல்,1
அதற்கான,1
பொம்மை,1
வேதனை,1
ஈழம்,1
காந்திநகர்,1
உருவப்பொம்மை,1
படம்,1
தேசியக்கொடி,1
போன்றவற்றை,1
கூட்டப்படு,1
ஈவிரக்கம்,1
தகுதிநீக்கம்,1
பெரு,1
சதானந்த்,1
சித்தராமையா,1
போபய்யா,1
கே.எஸ்.,1
ஒருவரி,1
செயலாளார்,1
வித்த,1
பிரானேஷ்,1
சிறப்பி,1
இதன்பின்,1
கண்காணிப்பு,1
ஆனது,1
தென்மாவட்டம்,1
தேதியன்று,1
பிற்பகுதி,1
காத்திரு,1
பிடிபடு,1
முந்தைய,1
முதல்நாள்,1
8,1
நெல்லை,1
பொதிகை,1
மேலான,1
2006,1
அனந்தபுரி,1
எக்ஸ்பிரஸ்,1
ஒட்டுமொத்தம்,1
படுக்கை,1
ஏசி,1
புள்ளியியல்,1
2001,1
இயல்பு,1
பாய்,1
1949,1
15-ல்,1
புரட்சிகரம்,1
முன்னணி,1
குறைவு,1
மலைப்பிரதேசம்,1
பள்ளத்தாக்கு,1
கடை,1
கேவலப்படுத்து,1
அத்துடன்,1
1996,1
நிதித்துறை,1
டாக்டர்,1
அதற்கடுத்த,1
உயிர்,1
வேலைவாய்ப்பு,1
தாய்,1
சேய்,1
துன்பம்,1
இன்பம்,1
வேலூர்,1
1987,1
அடுத்தடுத்த,1
காணு,1
இதயம்,1
திருச்சி,1
கருப்பை,1
மார்பகம்,1
புற்றுநோய்,1
தடுப்பு,1
பட்டயம்,1
பிரிட்டன்,1
முதன்முதல்,1
விலங்கியல்,1
ஏன்,1
முன்னால்,1
இன்றைக்கு,1
எம்.எஸ்ஸி.,1
எழுது,1
ஆங்காங்கே,1
கொடூரம்,1
75,1
இந்தி,1
கன்னடம்,1
வன்மம்,1
வக்கிரபுத்தி,1
இத்தனை,1
1954,1
பயன்,1
ஏய்,1
மருத்துவத்துறை,1
நண்பர்,1
ஏத்,1
பூர்வீகம்,1
மனப்பான்மை,1
தஞ்சை,1
உணர்வு,1
காப்பாற்று,1
இதன்மூலம்,1
ஒத்துழை,1
தலை,1
சாமானிய,1
ஏழையெளிய,1
மனசாட்சி,1
சிங்கள,1
ஆகவே,1
மக்களவை,1
எம்.பி.ய்,1
தயாநிதி,1
மாறன்,1
மரபு,1
உயர்கல்வி,1
தாய்சேய்,1
அதற்கேற்ப,1
1977,1
மனிதநேயம்,1
ஒப்படை,1
இழை,1
சிகரம்,1
கோலாகலம்,1
நவம்,1
வனப்பகுதி,1
துர்கா,1
ஜார்க்கண்ட்,1
செல்வம்,1
மகாலட்சுமி,1
சரஸ்வதி,1
வழிபடு,1
மகிஷாசுரன்,1
தேவியானவள்,1
போரிடு,1
வாகை,1
சூடு,1
கைவினை,1
கலைஞர்,1
உழைப்பு,1
மதிப்பளி,1
திருநாளாம்,1
நற்காரியம்,1
நன்னாள்,1
ஆணையாளர்,1
நேர்மாறு,1
வளம்,1
அமைதி,1
நல்லாட்சி,1
மலர்,1
மனமார்ந்த,1
நல்வாழ்த்து,1
கண்காணிப்புத்துறை,1
இடதுசாரி,1
குற்றவாளி,1
கூட்டறிக்கை,1
ஓய்வுபெறு,1
எஸ்.மாலதி,1
நிர்வாகி,1
சிவப்பு,1
வரதராஜன்,1
கம்பளம்,1
விரி,1
பாலகிருஷ்ணன்,1
ப.,1
செல்வசிங்,1
கம்யூனிஸம்,1
ஆர்.,1
நல்லகண்ணு,1
சி.,1
மகேந்திரன்,1
ஏ.எம்.,1
கோபு,1
எஸ்.எஸ்.,1
தியாகராஜன்,1
சுப்பராயன்,1
என்.எல்.சி.,1
40,1
ஸ்ரீபெரும்புதூர்,1
ஃபாக்ஸ்கான்,1
பூங்கொத்து,1
சுமூக,1
அத்தகைய,1
காணப்படு,1
தொ.மு.ச.,1
காண்,1
பன்னாடு,1
பழிவாங்கு,1
உடந்தை,1
டாஸ்மாக்,1
சத்துணவு,1
ஏவு,1
இத்தகைய,1
தா.,1
ஜி.,1
வழியெங்கு,1
ஒசாமா,1
கே.கே.மாதன்,1
எத்தகையது,1
எல்.மணி,1
பிரமுகர்,1
உறுதிப்படுத்து,1
பல்கலை,1
ஆமதாபாத்,1
ஏ.கே.செல்வராஜ்,1
பிரகாசப்படுத்து,1
மட்டுமின்றி,1
பயன்பெறு,1
உறுதுணை,1
பயனடை,1
நுழைவாயில்,1
உருவெடு,1
சவால்,1
சமாளி,1
வன்மை,1
ஈளாடா,1
எதிர்காலம்,1
அவர்களால்,1
அதற்குரிய,1
உதவிகரம்,1
குருக்கட்டி,1
கைவிடு,1
தெற்காசியா,1
பரிமாற்றம்,1
ஆசியான்,1
கட்டமைப்பு,1
வற்புறுத்து,1
விரிவு,1
சார்ந்த,1
எஸ்.கைகாட்டி,1
கா,1
இரண்டரை,1
பரிமாணம்,1
ஆக்க,1
சிடிசி,1
டானிங்டன்,1
கிட்டத்தட்ட,1
கணேஷ்,1
கையெழுத்து,1
ஆனதால்,1
அத்துறை,1
கூட்டாக,1
சக்கத்தா,1
அரவேணு,1
விண்வெளி,1
நீராதாரம்,1
பருவம்,1
நிலவரம்,1
வானியல்,1
சேவை,1
ராஜ்கோட்,1
வங்கி,1
அன்னியம்,1
செலாவணி,1
நிதியம்,1
ஐஎமெப்,1
அதிகமான,1
தம்,1
செயல்படுத்து,1
ஆர்வம்,1
ஊர்மக்கள்,1
வீரமுத்து,1
நிதீஷ்,1
ஒற்றுமை,1
சூரத்,1
ஊராட்சி,1
நம்பகத்தன்மை,1
உக,1
கோதா,1
சிக்தி,1
அஞ்சு,1
வகுப்புவாதம்,1
முற்றுப்புள்ளி,1
லோக்,1
ஜனசக்தி,1
சர்ச்சைக்குரிய,1
போஸ்ட்,1
லாபம்,1
நீதி,1
சமதர்மம்,1
சமம்,1
வாஷிடங்டன்,1
பணக்காரர்,1
ஹிந்து,1
முஸ்லிம்,1
சீக்கியர்,1
முத்துநகர்,1
எல்லோர்,1
காங்கிரசு,1
முத்திரை,1
குத்து,1
வதேதரா,1
ஜாம்நகர்,1
சிரமமானது,1
புறப்படு,1
ஊழல்,1
துரதிருஷ்டவசம்,1
தேவையுள்ளோர்,1
ஒப்பிடு,1
ஏராளமான,1
நிரூபி,1
உத்தர,1
பாவ்நகர்,1
பலன்கிட்டு,1
தயாராகு,1
தேங்கு,1
கொணவக்கரை,1
ஐ.பி.எல்.,1
கொட்டகம்பை,1
ஓவர்,1
2009,1
கௌரவம்,1
சீனிவாசன்,1
213,1
அதையடுத்து,1
ஏர்வேஸ்,1
நேரில்,1
555,1
விளம்பரம்,1
ஒளிபரப்பு,1
ஆகியவற்றில்,1
470,1
ஆவணம்,1
குற்றவியல்,1
409,1
420,1
468,1
477,1
120,1
பி,1
வேணு,1
நாயர்,1
ஆண்ரூ,1
ஜார்ஜியோ,1
சீமஸ்,1
ஓபிரயன்,1
ஹரீஷ்,1
கிருஷ்ணமாச்சாரி,1
அஜய்,1
வர்மா,1
ஏடிஎஸ்பி,1
வெங்கடேஸ்வரன்,1
அநேகமாக,1
நவம்பர்,1
செல்லல்,1
அலி,1
ஜர்தாரி,1
தாவல்,1
கொறடா,1
93,1
ஜெயராமன்,1
சீர்,1
சுவாசம்,1
அவதிப்பட்டு,1
செல்வராஜ்,1
குஞ்சப்பனை,1
நீலகிரி,1
இப்போதைக்கு,1
444-ல்,1
எதிர்கொள்,1
886,1
275,1
வழங்கிட்,1
118,1
313,1
359,1
951,1
96,1
30,1
தம்பா,1
இறுதிசெய்,1
பொற்கோயில்,1
கிப்ஸ்,1
பயணத்திட்டம்,1
சுற்றுப்பயணம்,1
தூரகரம்,1
சயீத்,1
தெரியவா,1
குழந்தை,1
யாவர்,1
சிகிச்சை,1
86,1
2002,1
671,1
ஒரிசா,1
அடுத்ததாக,1
சத்தீஸ்கர்,1
ஜார்கண்ட்,1
அசாம்,1
ஆகியவற்றைக்,1
எச்சிஎல்,1
HCள்,1
35,1
சாஃப்ட்வேர்,1
அரங்கு,1
கலாசாரம்,1
மேலாளர்,1
ஹைதராபாத்,1
ரத்தன்குமார்,1
வழக்கம்போல்,1
நள்ளிரவு,1
கணிப்பொறி,1
காவல்நிலையம்,1
அமளி,1
மகள்,1
பெற்றோர்,1
எழுதிவை,1
அமீர்,1
அதற்காக,1
சல்மான்,1
சாட்டு,1
கோயமுத்தூர்,1
முன்கூட்டி,1
ஆட்டம்,1
மாதம்தோறும்,1
எனப்படு,1
மார்க்கண்டேயம்,1
கட்ஜு,1
டி.எஸ்.,1
தாக்கூர்,1
அடிதடி,1
கொடுமை,1
2005,1
வழக்காடு,1
வாதாடு,1
கூச்சல்,1
தாம்பத்யம்,1
ஈடாக,1
இடமிருந்து,1
மிகப்பெரிய,1
பூர்த்தி,1
1.,1
ஆண்,1
துணைவர்,1
2.,1
களங்கம்,1
எட்டியிரு,1
3.,1
4.,1
விருப்பப்படு,1
அதன்,1
அங்கீகரி,1
நால்,1
ஆடவன்,1
உறுதிபடு,1
ஆ,1
ஃபிக்சிங்,1
ஸ்பாட்,1
வதந்தி,1
சற்று,1
34,1
மாறுபாடு,1
உண்டாகு,1
அவமானம்,1
சோராபுதீன்,1
காட்டிலும்,1
துறைமுகம்,1
விவகாரத்துறை,1
இணையமைச்சர்,1
வட,1
48,1
வெளியுறவுத்துறை,1
துணையமைச்சர்,1
ரிச்சர்,1
ஆர்மிடேஜ்,1
ரிச்சர்ட்,1
ஃபோன்டெய்ன்,1
இந்தியா-அமெரிக்கா,1
மேம்படு,1
பழுதுபார்,1
நடைமுறை,1
பின்பற்று,1
தரம்,1
அதிகமாக,1
உதிரி,1
நவீனம்,1
கிறிஸ்துவர்,1
2009-ல்,1
மார்ச்,1
ஆராய்ச்சி,1
சேதமடை,1
பியு,1
18,1
அமெரிக்கர்,1
ஐந்து,1
இருதரப்பு,1
குற்றச்சாட்டு,1
அரபிக்,1
ஷாகிர்,1
கண்காணிப்பாளர்,1
நச்சுத்தன்மை,1
சிறைச்சாலை,1
லாந்தி,1
342,1
ராதேஷ்யாம்,1
மண்டலம்,1
நதி,1
செயலின்மை,1
மாசு,1
ரமேஷ்,1
ஜெய்ராம்,1
பயிலரங்கு,1
படுகை,1
நதிநீர்,1
கான்பூர்,1
28,1
பெரும்புதூர்,1
பாகம்,1
சப்ளை,1
ஏமாற்றத்துக்குள்ளாக்கு,1
எஞ்சு,1
போலி,1
பரவல்,1
புஷ்,1
ஆல்ஃப்ரடோ,1
தீவிரம்,1
சந்தேகம்,1
இருவழி,1
சங்கடம்,1
வரல்,1
தளவாடம்,1
காப்புரிமை,1
விதிமீறல்,1
லூயிஸ்,1
கடத்தல்,1
டி.எம்.,1
பேருந்து,1
விவாதம்,1
முள்ளிவாய்க்கால்,1
மட்டுமல்லாமல்,1
வெடிபொருள்,1
போதைமருந்து,1
மாறு,1
படையினர்,1
செயலிழ,1
தோற்கடி,1
இதுபோன்ற,1
எந்தவிதத்,1
கிறிஸ்தவர்,1
